train/value_loss,train/learning_rate,train/explained_variance,time/total_timesteps,train/policy_loss,time/iterations,time/time_elapsed,train/n_updates,time/fps,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
8.644195759188733e-08,0.0007,0.0,45500,0.00018998922314494848,1100,6,9099,882,-0.6844844818115234,,
9.023892608628001e-14,0.0007,0.3333333134651184,46000,-1.2270788829482626e-07,1200,6,9199,865,-0.7187849879264832,,
3.2289613045577426e-06,0.0007,1.1920928955078125e-07,46500,-0.0002490613842383027,1300,7,9299,863,-0.4412197470664978,,
5.101745955471415e-06,0.0007,0.45343250036239624,47000,-0.00013710823259316385,1400,8,9399,865,-0.692839503288269,,
9.985683113722388e-11,0.0007,0.00012892484664916992,47500,-3.2768498385848943e-06,1500,8,9499,865,-0.6349190473556519,,
6.184916578888533e-09,0.0007,0.0,48000,-4.8211240937234834e-05,1600,9,9599,870,-0.6965711116790771,,
1.3322962786332937e-06,0.0007,0.0,48500,-0.0001425061491318047,1700,9,9699,871,-0.40674862265586853,,
6.439648727457614e-12,0.0007,0.006038248538970947,49000,-9.233247624251817e-07,1800,10,9799,870,-0.6532780528068542,,
4.927812602417703e-10,0.0007,1.4543533325195312e-05,49500,-1.2330019671935588e-05,1900,10,9899,872,-0.6797673106193542,,
8.534931339454488e-07,0.0007,0.0,50000,-0.00039846255094744265,,,9999,,-0.6304119229316711,300.0,-2.9999999329447746
,,,50000,,2000,11,,839,,,
3.1516826926036856e-09,0.0007,2.2649765014648438e-06,50500,-3.53569739672821e-05,100,0,10099,928,-0.7007941603660583,,
8.928612373892975e-07,0.0007,0.0,51000,-0.00019380896992515773,200,1,10199,919,-0.5138834714889526,,
8.56985576253022e-12,0.0007,0.00033277273178100586,51500,-2.956000173526263e-07,300,1,10299,923,-0.33051154017448425,,
2.986406144600551e-08,0.0007,1.7881393432617188e-07,52000,-2.49769254878629e-05,400,2,10399,915,-0.4246107041835785,,
5.776611942565069e-06,0.0007,0.0,52500,-0.0014986400492489338,500,2,10499,909,-0.5012989640235901,,
2.382520916666131e-11,0.0007,3.337860107421875e-05,53000,-4.5040616214464535e-07,600,3,10599,910,-0.3250350058078766,,
1.1575475689085124e-08,0.0007,1.1920928955078125e-06,53500,-6.786084122722968e-05,700,3,10699,915,-0.6353719830513,,
2.4226187633757945e-06,0.0007,0.0,54000,-0.0010028139222413301,800,4,10799,914,-0.6839167475700378,,
0.0,0.0007,1.0,54500,-0.0,900,4,10899,911,-0.43271976709365845,,
4.55114923525457e-09,0.0007,5.960464477539062e-07,55000,-4.14979786000913e-06,,,10999,,-0.26425549387931824,300.0,-2.9999999329447746
,,,55000,,1000,5,,840,,,
1.877171257547161e-06,0.0007,0.0,55500,-7.175266364356503e-05,1100,6,11099,850,-0.23055526614189148,,
5.054943269522383e-11,0.0007,0.00013887882232666016,56000,-1.6479295084081969e-07,1200,7,11199,855,-0.12739455699920654,,
0.0,0.0007,nan,56500,-0.0,1300,7,11299,859,-0.6937576532363892,,
1.749204557199846e-06,0.0007,0.0,57000,-0.0007053023437038064,1400,8,11399,855,-0.6493321657180786,,
0.0,0.0007,nan,57500,-0.0,1500,8,11499,857,-0.5198841094970703,,
4.734979484055657e-07,0.0007,5.960464477539063e-08,58000,-0.00023755776055622846,1600,9,11599,859,-0.5993550419807434,,
1.7356909438603907e-06,0.0007,0.0,58500,-0.00019691635679919273,1700,9,11699,863,-0.43970489501953125,,
5.114486525265027e-12,0.0007,0.000583946704864502,59000,-1.444621830160031e-06,1800,10,11799,867,-0.6606000661849976,,
2.0673065037613014e-08,0.0007,0.0,59500,-9.371694613946602e-05,1900,10,11899,870,-0.6695156097412109,,
6.276555950535112e-07,0.0007,0.0,60000,-0.0005121886497363448,,,11999,,-0.7144773006439209,300.0,-2.9999999329447746
,,,60000,,2000,11,,837,,,
6.045490774653217e-09,0.0007,3.2782554626464844e-06,60500,-5.128982593305409e-05,100,0,12099,978,-0.7001948952674866,,
3.592369466787204e-06,0.0007,0.0,61000,-0.00034313887590542436,200,1,12199,921,-0.48915988206863403,,
3.0517810500896303e-12,0.0007,0.002371549606323242,61500,-1.8739339679996192e-07,300,1,12299,918,-0.36646148562431335,,
1.789930365703185e-06,0.0007,0.0,62000,-0.00015254088793881238,400,2,12399,916,-0.37194305658340454,,
3.108194960077526e-06,0.0007,0.0,62500,-0.0008256413275375962,500,2,12499,916,-0.6002580523490906,,
9.841301384927448e-11,0.0007,8.046627044677734e-06,63000,-8.841359999678389e-07,600,3,12599,913,-0.3188228905200958,,
1.0484869861215884e-08,0.0007,1.0728836059570312e-06,63500,-8.301717025460675e-05,700,3,12699,911,-0.659925103187561,,
