time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/n_updates,train/value_loss,train/clip_range,train/loss,train/clip_fraction,train/learning_rate,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward
2048,1,0,2379,,,,,,,,,,,,
4096,2,2,1583,10,9.10252944380045,0.2,4.211929798126221,0.332421875,0.0003,0.011457979679107666,-1.593899930641055,-0.035796879974077454,0.015947634,,
5000,,,,20,18.371458745002748,0.2,11.237520217895508,0.258642578125,0.0003,-0.05677366256713867,-1.5576900798827409,-0.02994145057455171,0.016721942,300.0,6.372446181252599
6144,3,4,1268,,,,,,,,,,,,
8192,4,6,1250,30,11.743713822960853,0.2,4.732986927032471,0.202001953125,0.0003,0.00018280744552612305,-1.4907737154513598,-0.020764141983818263,0.017423287,,
10000,,,,40,9.221799740940332,0.2,3.266434669494629,0.14814453125,0.0003,0.6427192091941833,-1.5041263207793236,-0.017322980158496648,0.023654763,300.0,33.65351464897394
10240,5,8,1183,,,,,,,,,,,,
12288,1,0,2473,50,7.845370081067085,0.2,2.134150981903076,0.2181640625,0.0003,0.7414579391479492,-1.5051953438669443,-0.01842209603491938,0.020245302,,
14336,2,2,1657,60,15.04290892779827,0.2,7.574015140533447,0.1091796875,0.0003,0.6848861575126648,-1.490661046653986,-0.012242233555298299,0.011866331,,
15000,,,,70,17.432252156734467,0.2,10.44865608215332,0.156005859375,0.0003,0.42841869592666626,-1.4871429126709699,-0.013038763551594456,0.014267363,300.0,21.990884782373904
16384,3,4,1330,,,,,,,,,,,,
18432,4,6,1301,80,20.717500530183315,0.2,6.102286338806152,0.15185546875,0.0003,0.5394315719604492,-1.4101877249777317,-0.0084874043794116,0.009713864,,
20000,,,,90,16.493127676844598,0.2,7.849080562591553,0.1421875,0.0003,0.6557493209838867,-1.4046842247247695,-0.021270419443317222,0.013323514,300.0,20.545453402400017
20480,5,8,1218,,,,,,,,,,,,
22528,1,0,2508,100,18.04333120584488,0.2,7.783775806427002,0.162744140625,0.0003,0.714595377445221,-1.3235705096274615,-0.014007316235802137,0.017716216,,
24576,2,2,1661,110,14.374263609945775,0.2,5.148327350616455,0.17177734375,0.0003,0.8261728882789612,-1.2814267508685588,-0.014304087034543046,0.014336785,,
25000,,,,120,7.522778456658125,0.2,1.731533408164978,0.1947265625,0.0003,0.8572283387184143,-1.1190623054280877,-0.014502713248657529,0.017580055,191.2,40.04857113212347
26624,3,4,1400,,,,,,,,,,,,
28672,4,6,1343,130,5.47216125652194,0.2,2.1977908611297607,0.193310546875,0.0003,0.8922827839851379,-1.0734254306182265,-0.0130667285353411,0.019632438,,
30000,,,,140,4.3968229874968525,0.2,1.9398159980773926,0.223095703125,0.0003,0.9205265045166016,-1.0264297563582658,-0.013411109099979512,0.019273903,89.8,56.72231885492802
30720,5,7,1300,,,,,,,,,,,,
32768,1,0,2507,150,3.7139287505298855,0.2,2.193324089050293,0.171826171875,0.0003,0.9345589280128479,-0.8859587134793401,-0.011504880301072263,0.01537239,,
34816,2,2,1620,160,4.011572990193963,0.2,1.8321053981781006,0.179296875,0.0003,0.9484875202178955,-0.825574791431427,-0.01199634966760641,0.019932568,,
35000,,,,170,5.388742879033089,0.2,2.412794351577759,0.16787109375,0.0003,0.9305548071861267,-0.8690034041181207,-0.014193294731376227,0.013305234,25.0,49.246701639890674
36864,3,4,1447,,,,,,,,,,,,
38912,4,5,1391,180,3.0012362509965897,0.2,0.9360722303390503,0.137158203125,0.0003,0.9540871977806091,-0.8237717250362039,-0.009254278062144294,0.012914075,,
